ImageIndex,Red,Green,blue,ExGI,CanopyCover
28,0.2495528875612745,0.3267080269607843,0.3217572380514706,0.0821059283088235,0.125
29,0.2615760952818627,0.3347081801470588,0.3420773973651961,0.0657628676470587,0.087646484375
30,0.2584606694240196,0.3285663679534313,0.3284734987745098,0.0701985677083333,0.0966796875
31,0.2454340916053921,0.3069077435661764,0.3005543428308823,0.0678270526960784,0.095458984375
32,0.2346440333946078,0.298666321997549,0.2908882889093137,0.0718003216911764,0.087890625
33,0.2590312882965686,0.321862553615196,0.3188026577818627,0.0658911611519607,0.1044921875
34,0.2227529488357843,0.2982335707720588,0.2655637254901961,0.1081504672181372,0.187744140625
35,0.2459712009803921,0.32578125,0.3099657245710784,0.0956255744485294,0.1328125
36,0.2203316482843137,0.2916063495710784,0.2730928308823529,0.0897882199754902,0.143310546875
37,0.2354932598039215,0.319012331495098,0.2879337086397059,0.1145976945465686,0.18212890625
38,0.2252182904411764,0.3024232153799019,0.2670955882352941,0.1125325520833333,0.21044921875
39,0.2390232460171568,0.3016410079656862,0.2791752833946078,0.0850834865196078,0.13134765625
40,0.2434560738357843,0.3059225643382353,0.2905876608455882,0.077801393995098,0.122314453125
41,0.243572878370098,0.3181085324754902,0.2972675398284313,0.095376646752451,0.127197265625
42,0.2490636488970588,0.3240100337009804,0.3054524739583333,0.0935039445465686,0.123291015625
43,0.2528262867647058,0.3097713694852941,0.3099810431985294,0.0567354090073529,0.045654296875
44,0.2543801700367647,0.3154526654411764,0.305959903492647,0.0705652573529411,0.078125
45,0.2478534773284313,0.3056094898897059,0.3073165594362745,0.0560489430147058,0.072021484375
46,0.2569374234068627,0.3260991115196078,0.3138614430147058,0.081399356617647,0.103271484375
47,0.3089451210171569,0.3808249080882352,0.3985303691789216,0.054174325980392,0.0498046875
48,0.2802255667892157,0.3392444087009804,0.349395871629902,0.0488673789828431,0.05712890625
49,0.2607670802696078,0.3241900275735294,0.3331523820465686,0.0544605928308824,0.046875
50,0.208251953125,0.2728879442401961,0.2556257659313725,0.0818981694240196,0.111328125
51,0.257488893995098,0.3243901271446078,0.3323998544730392,0.0588915058210784,0.070556640625
52,0.2543849571078431,0.3249492570465686,0.316619753370098,0.078893803615196,0.091064453125
53,0.3699477251838235,0.4542873008578431,0.5037635952818628,0.0348632812499999,0.02001953125
54,0.3551393995098039,0.4217783011642156,0.4645211014093137,0.0238961014093136,0.010498046875
55,0.3751713771446078,0.4553165211397059,0.4866756663602941,0.0487859987745098,0.053955078125
56,0.2082452512254902,0.265185546875,0.2439663756127451,0.0781594669117647,0.180908203125
57,0.203304993872549,0.2621993719362745,0.2210947074142157,0.0999990425857842,0.224609375
58,0.2173636642156863,0.2812787224264705,0.2401376761642157,0.1050561044730391,0.2548828125
59,0.1955068550857843,0.2556554457720588,0.2093395756740196,0.1064644607843137,0.27734375
60,0.1911285998774509,0.255108762254902,0.210400390625,0.108688534007353,0.26513671875
61,0.2246132046568627,0.2852443321078431,0.2643305759803921,0.0815448835784313,0.18701171875
62,0.224465762867647,0.2827416513480392,0.2674134497549019,0.0736040900735294,0.154296875
63,0.2287396599264705,0.2939931832107843,0.2832778033088235,0.0759689031862745,0.133056640625
64,0.1987027037377451,0.2677313112745098,0.2302303538602941,0.1065295649509804,0.188720703125
65,0.1957682291666666,0.2592840456495098,0.2250086167279411,0.0977912454044117,0.177001953125
66,0.2678270526960784,0.3302475873161765,0.3401003370098039,0.0525677849264706,0.11328125
67,0.2558402267156863,0.3196920955882353,0.3122654335171568,0.0712785309436274,0.15966796875
68,0.233434819240196,0.2901999080882353,0.2813419117647059,0.0656230851715686,0.127197265625
69,0.2263145297181372,0.2894636565563726,0.2770402496936274,0.0755725337009803,0.136962890625
70,0.2331408930759804,0.3003283930759804,0.2796712239583333,0.0878446691176471,0.145751953125
71,0.2387408088235294,0.3102223115808823,0.2993173636642157,0.0823864506740196,0.123046875
72,0.2314012714460784,0.2879815793504902,0.2656221277573529,0.0789397594975489,0.178955078125
73,0.2485207950367647,0.3064596737132353,0.2928624770220588,0.071536075367647,0.15966796875
74,0.2353956035539215,0.2995509727328431,0.2704915364583333,0.0932148054534314,0.198974609375
75,0.2214029947916666,0.2838340609681372,0.2646130131740196,0.0816521139705882,0.134521484375
